section,feature,python,rust,rust_mlx,notes,deprecated
Model Architectures — Decoder-Only LLMs,Qwen3,yes,yes,yes,LLaMA alias in CudaWorker,
Model Architectures — Decoder-Only LLMs,Phi-3 / Phi-4,yes,yes,yes,LLaMA alias in CudaWorker; LongRoPE for Phi-4,
Model Architectures — Decoder-Only LLMs,Gemma 2,yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Gemma 3 (text-only),yes,yes,yes,CUDA graphs supported; Gemma3ForConditionalGeneration resolved as text-only via text_config,
Model Architectures — Decoder-Only LLMs,DeepSeek V2 / V3 (MLA + MoE),yes,partial,yes,V2/V2-Lite at parity (non-absorbed MLA + 6 CUDA kernels + YaRN RoPE); V3 gaps: grouped top-k routing + sigmoid scoring + e_score_correction_bias + noaux_tc routing,
Model Architectures — Decoder-Only LLMs,Command R (Cohere),yes,yes,yes,BNB 4-bit verified on L40S,
Model Architectures — Decoder-Only LLMs,Qwen2 MoE,yes,yes,yes,MoE + shared expert (gated),
Model Architectures — Decoder-Only LLMs,Qwen3 MoE,yes,yes,yes,MoE + shared expert + QK-norm,
Model Architectures — Decoder-Only LLMs,Mixtral (MoE),yes,yes,yes,Pure MoE (8 experts top-2),
Model Architectures — Decoder-Only LLMs,Granite (IBM),yes,yes,yes,LLaMA + 4 scalar multipliers,
Model Architectures — Decoder-Only LLMs,Kimi K2.5,yes,yes,yes,DeepSeek V2 backbone,
Model Architectures — Decoder-Only LLMs,Qwen3-Next (hybrid GDN + MoE),yes,partial,yes,Gaps: chunked prefill (uses fused_recurrent not chunk_gated_delta_rule); GDN TP; spec decode token splitting; has_initial_state flag; conv1d bias; L2 norm in recurrence; MTP,
Model Architectures — Decoder-Only LLMs,GPT-NeoX,yes,no,no,,
Model Architectures — Decoder-Only LLMs,GPT-BigCode / StarCoder2,yes,no,no,,
Model Architectures — Decoder-Only LLMs,Falcon / Falcon-H1,yes,no,no,,
Model Architectures — Decoder-Only LLMs,OLMo / OLMo2 / OLMoE,yes,no,no,,
Model Architectures — Decoder-Only LLMs,Mamba / Bamba / Jamba,yes,no,no,SSM-based,
Model Architectures — Decoder-Only LLMs,ChatGLM / GLM-4,yes,no,no,,
Model Architectures — Decoder-Only LLMs,Nemotron / Nemotron-H,yes,no,no,,
Model Architectures — Decoder-Only LLMs,DBRX (MoE),yes,no,no,,
Model Architectures — Decoder-Only LLMs,100+ additional architectures,yes,no,no,"Includes BLOOM, OPT, StableLM, Baichuan, Exaone/Exaone4, Arctic (MoE), Zamba 2, PLaMo 2/3, ERNIE 4.5, SolarPro, GPT-J, and many more",
Model Architectures — Encoder / Embedding,BERT,yes,no,,,
Model Architectures — Encoder / Embedding,ModernBERT,yes,no,,,
Model Architectures — Encoder / Embedding,RoBERTa,yes,no,,,
Model Architectures — Encoder / Embedding,ColBERT / ColQwen3,yes,no,,Late-interaction rerankers,
Model Architectures — Vision-Language / Multimodal,Gemma 3 VLM (SigLIP + projector),yes,no,,Removed with CandleWorker; not ported to CudaWorker,
Model Architectures — Vision-Language / Multimodal,Qwen2-VL / Qwen2.5-VL,yes,no,,Removed with CandleWorker; not ported to CudaWorker,
Model Architectures — Vision-Language / Multimodal,LLaMA 4 (Mllama4),yes,no,,,
Model Architectures — Vision-Language / Multimodal,Qwen3-VL,yes,no,,,
Model Architectures — Vision-Language / Multimodal,Phi-3-Vision / Phi-4-MM,yes,no,,,
Model Architectures — Vision-Language / Multimodal,LLaVA / Pixtral,yes,no,,,
Model Architectures — Vision-Language / Multimodal,InternVL2,yes,no,,,
Model Architectures — Vision-Language / Multimodal,DeepSeek-VL2,yes,no,,,
Model Architectures — Vision-Language / Multimodal,Molmo / Molmo2,yes,no,,,
Model Architectures — Vision-Language / Multimodal,PaliGemma,yes,no,,,
Model Architectures — Vision-Language / Multimodal,30+ additional VLMs,yes,no,,,
Model Architectures — Audio / Speech,Whisper,yes,no,,,
Model Architectures — Audio / Speech,Qwen2-Audio / Qwen3-ASR,yes,no,,,
Model Architectures — Audio / Speech,Ultravox,yes,no,,,
Model Architectures — Audio / Speech,Voxtral / Voxtral-Realtime,yes,no,,,
Model Architectures — Speculative Decoding Draft Models,EAGLE / EAGLE3 heads,yes,no,,,
Model Architectures — Speculative Decoding Draft Models,Medusa heads,yes,no,,,
Model Architectures — Speculative Decoding Draft Models,MLP Speculator,yes,no,,,
Model Architectures — Speculative Decoding Draft Models,DeepSeek-Eagle,yes,no,,,
Quantization Methods,GGUF (all k-quant variants),yes,yes,,llama.cpp-derived dequant kernels; BS=1 fused dequant-matvec + BS>1 Q8_1 dot products; archs: LLaMA/Qwen2/Qwen3; E2E: Qwen2.5-0.5B + Qwen3-0.6B GGUF; CUDA graphs disabled (incompatible with dynamic allocs),
Quantization Methods,GGUF IQ quants (importance-matrix),yes,partial,,IQ4_NL + IQ4_XS done (Phase 1); remaining: IQ1_S/IQ1_M/IQ2_XXS/IQ2_XS/IQ2_S/IQ3_XXS/IQ3_S; llama.cpp-derived lookup-table dequant kernels,
Quantization Methods,GPTQ,yes,yes,,Marlin W4A16 on SM80+; symmetric + desc_act (activation ordering); fused QKV/gate_up at load; post-GEMM bias_add_inplace for linear bias; CUDA graphs work; archs: LLaMA/Qwen2/Gemma2/Granite; note: asymmetric zero-points not passed (uint4b8 bakes in zp like Python vLLM),
Quantization Methods,AWQ,yes,yes,,Marlin W4A16 on SM80+; fused QKV/gate_up at load; CUDA graphs work; archs: LLaMA/Qwen2/Gemma2/Granite; E2E verified Qwen2.5-0.5B,
Quantization Methods,BitsAndBytes NF4 (4-bit),yes,yes,,Dequant-then-cuBLAS GEMM; double quantization supported; per-shard matmuls for QKV and gate/up; archs: LLaMA/Qwen2/Gemma2 (+ aliases Mistral/Qwen3/Phi-3/Granite); E2E verified unsloth/Qwen3-0.6B-bnb-4bit,
Quantization Methods,Quantized MoE (FP8/INT8/INT4 experts),yes,partial,,INT4 MoE: Marlin MoE W4A16 kernel (AWQ/GPTQ) for Qwen3MoE/Qwen2MoE/Mixtral with dynamic moe_block_size [8/16]; FP8 MoE: fused_moe_fp8_gemm kernel with per-token activation scales + per-expert weight scales (dequant-to-BF16 compute path for SM80+; FP8 storage → 2x bandwidth savings); Fp8FusedMoELayer + Fp8SharedFusedMoELayer wired into Mixtral/Qwen2MoE/Qwen3MoE/DeepSeekV2; load_fp8_moe_experts with scale merging (max gate/up per expert); E2E verified fxmarty/Mixtral-8x7B-FP8-2-layers. TODO: native SM89+ FP8 tensor core mma.m16n8k32 PTX (parked — 0.5x output bug in fragment layout; would give 2x compute on top of 2x bandwidth); block-quantized FP8 MoE (DeepSeek-V3 per-block weight_block_size scales); INT8 W8A8 MoE experts (Marlin INT8 MoE kernel); per-channel FP8 MoE scales (w_scale shape [E x N] instead of [E]); moe_block_size 32/48/64 for large-batch prefill; FP8 MoE + CUDA graphs (needs pre-allocated FP8 activation/scale buffers),
Quantization Methods,MLX 4-bit quantized,na,yes,,Rust-only; mlx-community models,
Quantization Methods,FP8 (W8A8 / W8A16),yes,partial,,SM89 W8A8 per-tensor + per-channel via fused CUTLASS cutlass_scaled_mm (c2x EVT epilogue with per-row scale_a / per-tensor scale_b); dynamic activation quantization (scaled_fp8_quant kernel); static activation quantization (pre-calibrated input_scale); compressed-tensors float8 config detection; E2E verified: Qwen2.5-0.5B-FP8 + LLaMA-3.1-8B-FP8. TODO: SM90+ Hopper CUTLASS 3.x c3x kernels (CollectiveMainloop/CollectiveEpilogue — completely different API from c2x); SM100/SM120 Blackwell kernels (scaled_mm_c3x_sm100); block-quantized FP8 GEMM (DeepSeek-V3 weight_block_size — currently dequant-to-BF16 fallback); FP8 + CUDA graphs (needs pre-allocated FP8 activation/scale buffers during graph capture); FP8 W8A16 weight-only (no activation quantization); online FP8 weight quantization (BF16→FP8 at load time for non-serialized checkpoints); Marlin FP8 fallback for SM<89; FP8 E5M2 dtype (only E4M3 implemented); bias epilogue fusion (ScaledEpilogueBias variants); AZP asymmetric zero-point epilogue (ScaledEpilogueAZP for INT8),
Quantization Methods,Marlin kernels (AWQ/GPTQ),yes,yes,,W4A16 dense + MoE; auto-converts at load on SM80+; use_fp32_reduce matches Python default; MoE: Marlin MoE WNA16 kernel with fused expert routing + topk weight multiply,
Quantization Methods,Compressed-tensors (Neural Magic),yes,partial,,FP8 float8 subset only: config detection (config_groups parsing) + weight/scale loading for RedHatAI/neuralmagic models with per-channel BF16→f32 scale conversion. TODO: INT8 W8A8 quantized weights; INT4/W4A16 quantized weights; mixed-precision compressed-tensors (different groups with different quant configs); sparse compressed-tensors (2:4 sparsity); activation quantization strategies beyond dynamic/static; group quantization (per-group scales); compressed-tensors with actorder,
Quantization Methods,TorchAO (int4/int8/fp8),yes,no,,,
Quantization Methods,MXFP4 (microscaling),yes,no,,,
Quantization Methods,ModelOpt (NVIDIA FP4/FP8),yes,no,,,
Quantization Methods,Quark (AMD),yes,no,,,
Quantization Methods,FP8 KV cache quantization,yes,yes,,CudaWorker: FP8 E4M3 KV cache with dequant-gather + contiguous FA2; CUDA graphs supported (pre-allocated dequant buffers + GPU prefix-sum cu_seqlens_k). TODO: native FP8 paged FA2 (avoid dequant to BF16); per-channel KV scales (currently per-tensor); online KV scale calibration (calculate_kv_scales dynamic update during inference),
Attention Backends,Scaled dot-product (CPU),yes,no,,Removed with CandleWorker,wontfix
Attention Backends,FlashAttention-2 (single sequence),yes,yes,,CudaWorker: direct FFI,
Attention Backends,FlashAttention-2 varlen (batched prefill),yes,no,,Removed with CandleWorker,
Attention Backends,Paged FlashAttention-2 (all batches),yes,yes,,CudaWorker: direct FFI to vllm-flash-attn fork; prefill + decode + mixed,
Attention Backends,FlashAttention-3,yes,no,,,
Attention Backends,FlashInfer,yes,no,,,
Attention Backends,Triton attention,yes,no,,,
Attention Backends,ROCm AITER attention,yes,no,,,
Attention Backends,FlashInfer MLA (DeepSeek),yes,no,,,
Attention Backends,Triton MLA (DeepSeek),yes,no,,,
Attention Backends,Tree attention (speculative),yes,no,,,
Attention Backends,Mamba1 / Mamba2 SSM,yes,no,,,
Attention Backends,GDN (gated diffusion network),yes,yes,,Rust: Qwen3-Next; gaps: chunked prefill algo + GDN TP,
Attention Backends,MLX paged decode attention,na,yes,,Rust-only,
Sampling & Decoding,Greedy (argmax),yes,yes,,CudaWorker: in-graph argmax for CUDA graphs,
Sampling & Decoding,Temperature scaling,yes,yes,,CudaWorker: Gumbel-max (fast) or fused kernel,
Sampling & Decoding,Top-k,yes,yes,,CudaWorker: fused radix-select kernel,
Sampling & Decoding,Top-p (nucleus),yes,yes,,CudaWorker: fused kernel,
Sampling & Decoding,Min-p,yes,yes,,CudaWorker: fused kernel,
Sampling & Decoding,Repetition penalty,yes,yes,,CudaWorker: fused GPU kernel (one block per request),
Sampling & Decoding,Frequency penalty,yes,yes,,CudaWorker: fused with rep/pres in single kernel,
Sampling & Decoding,Presence penalty,yes,yes,,CudaWorker: fused with rep/freq in single kernel,
Sampling & Decoding,Logit bias,yes,yes,,CudaWorker: CSR-packed scatter-add kernel,
Sampling & Decoding,Logprobs (top-N),yes,yes,,CudaWorker: fused log-softmax + top-K kernel,
Sampling & Decoding,Prompt logprobs,yes,yes,,,
Sampling & Decoding,Random seed,yes,yes,,Per-request StdRng seeded from user seed,
Sampling & Decoding,Stop strings,yes,yes,,,
Sampling & Decoding,Stop token IDs,yes,yes,,,
Sampling & Decoding,`ignore_eos`,yes,yes,,,
Sampling & Decoding,`min_tokens`,yes,yes,,CudaWorker: GPU kernel suppresses EOS/stop tokens until min_tokens reached,
Sampling & Decoding,`n > 1` completions,yes,yes,,Engine-level (not worker-level),
Sampling & Decoding,`echo` (return prompt in output),yes,yes,,,
Sampling & Decoding,`bad_words` blocklist,yes,yes,,CudaWorker: CPU suffix matching + GPU mask kernel,
Sampling & Decoding,`allowed_token_ids` whitelist,yes,yes,,CudaWorker: reuses grammar mask kernel (CSR allow-list),
Sampling & Decoding,`truncate_prompt_tokens`,yes,yes,,Truncates from left (keeps last N tokens),
Sampling & Decoding,Beam search,yes,no,,,yes
Sampling & Decoding,`best_of` / `n` with rejection,yes,no,,,yes
Sampling & Decoding,GPU-side fused sampling (CUDA),yes,yes,,CudaWorker: argmax + Gumbel-max + fused top-k/top-p/min-p; in-graph for CUDA graphs; full LogitsProcessor pipeline (no CPU fallback),
Structured Output / Guided Decoding,JSON schema,yes,yes,,,
Structured Output / Guided Decoding,JSON object (freeform),yes,yes,,,
Structured Output / Guided Decoding,Regex constraint,yes,yes,,,
Structured Output / Guided Decoding,Choice (enum),yes,yes,,,
Structured Output / Guided Decoding,EBNF grammar,yes,yes,,via llguidance Lark parser,
Structured Output / Guided Decoding,Structural tags,yes,yes,,Port of Python llguidance StructTag.to_grammar(); converts to Lark grammar,
Structured Output / Guided Decoding,Backend: outlines-core FSM,yes,no,,Replaced by llguidance,yes
Structured Output / Guided Decoding,Backend: xgrammar,yes,no,,Redundant; llguidance covers all constraint types (JSON schema/regex/grammar/choice/structural tags). Python keeps xgrammar for historical compatibility.,yes
Structured Output / Guided Decoding,Backend: guidance / llguidance,yes,yes,,llguidance 1.6 (same engine as Python guidance backend),
Structured Output / Guided Decoding,Backend: lm-format-enforcer,yes,no,,Redundant; llguidance covers all constraint types. Python keeps lm-format-enforcer for historical compatibility.,yes
Tool Calling / Function Calling,`tools` / `tool_choice` in chat completions,yes,yes,,,
Tool Calling / Function Calling,`auto` / `required` / `none` tool choice,yes,yes,,,
Tool Calling / Function Calling,Named tool choice,yes,yes,,,
Tool Calling / Function Calling,Parallel tool calls,yes,yes,,,
Tool Calling / Function Calling,`hermes` tool parser,yes,yes,,,
Tool Calling / Function Calling,`llama3_json` / `llama4_json` tool parser,yes,yes,,,
Tool Calling / Function Calling,`mistral` tool parser,yes,yes,,v11+ and pre-v11 formats; auto-detected,
Tool Calling / Function Calling,`kimi_k2` tool parser,yes,yes,,,
Tool Calling / Function Calling,`deepseek_v3` tool parser,yes,no,,Unicode special-token delimiters + regex,
Tool Calling / Function Calling,`deepseek_v31` tool parser,yes,no,,Same as v3 with slightly simpler regex,
Tool Calling / Function Calling,`deepseek_v32` tool parser,yes,no,,DSML XML tags + per-parameter type coercion,
Tool Calling / Function Calling,`granite` tool parser,yes,yes,,`<|tool_call|>` / `<tool_call>` + JSON array; streaming + non-streaming; E2E tests,
Tool Calling / Function Calling,`qwen3_coder` tool parser,yes,no,,XML-like tags (`<tool_call>` `<function=...>` `<parameter=...>`) + type coercion,
Tool Calling / Function Calling,`qwen3_xml` tool parser,yes,no,,SAX-style XML parsing via expat; 1318 lines,
Tool Calling / Function Calling,`jamba` tool parser,yes,partial,,Parser implemented; needs E2E testing once JambaForCausalLM is supported,
Tool Calling / Function Calling,Other tool parsers (20),yes,no,,"granite-20b-fc, pythonic, llama4_pythonic, phi4_mini_json, internlm, xlam, longcat, glm45, glm47, functiongemma, hunyuan_a13b, minimax, minimax_m2, olmo3, openai, seed_oss, step3, step3p5, ernie45, gigachat3",
Tool Calling / Function Calling,Reasoning parsers (strip CoT tokens),yes,yes,,"DeepSeek-R1, Qwen3; --reasoning-parser CLI arg; streaming + non-streaming",
Scheduling,Continuous batching,yes,yes,,,
Scheduling,FCFS scheduling policy,yes,yes,,,
Scheduling,Priority scheduling policy,yes,yes,,,
Scheduling,Chunked prefill,yes,yes,,Default on in both,
Scheduling,Prefix caching (APC),yes,yes,,Hash-based block reuse; default on in both,
Scheduling,Async scheduling (overlap GPU/CPU),yes,yes,,,
Scheduling,Preemption (swap to CPU),yes,no,,,yes
Scheduling,Custom scheduler class (pluggable),yes,no,,Python-only: dynamic class loading by import path; even Python marks this unstable,wontfix
KV Cache,Paged KV cache (block pool),yes,yes,,,
KV Cache,Block allocation / free / reuse,yes,yes,,,
KV Cache,Prefix-cached block lookup,yes,yes,,,
KV Cache,Contiguous KV buffer (CUDA decode opt),yes,yes,,Avoids Tensor::cat per step,
KV Cache,CPU swap space,yes,no,,Python: default 4 GB,
KV Cache,KV cache offloading to CPU,yes,no,,,
KV Cache,FP8 KV cache,yes,yes,,--kv-cache-dtype fp8_e4m3 + --calculate-kv-scales; 2x block capacity; CUDA graphs supported,
KV Cache,KV transfer / disaggregated prefill,yes,no,,"Python: NCCL, LMCache, NIXL, Mooncake connectors",
LoRA & Adapters,Single LoRA adapter at startup,yes,yes,,CPU-side weight merging at load time (CudaWorker + MLX),
LoRA & Adapters,Multi-LoRA concurrent serving,yes,no,,,
LoRA & Adapters,Dynamic LoRA hot-load/unload (REST API),yes,no,,,
LoRA & Adapters,Fully sharded LoRA (across TP ranks),yes,no,,,
LoRA & Adapters,Punica batched LoRA GEMM kernels,yes,no,,,
LoRA & Adapters,rsLoRA scaling,yes,yes,,Supported via LoraAdapterConfig::scaling(),
Speculative Decoding,N-gram prompt lookup proposer,yes,yes,,KMP-based proposer + greedy rejection sampling in CudaWorker; 6 E2E tests; --speculative-model ngram --num-speculative-tokens N,
Speculative Decoding,Draft model (separate small LM),yes,no,,,
Speculative Decoding,EAGLE / EAGLE3 draft heads,yes,no,,,
Speculative Decoding,Medusa draft heads,yes,no,,,
Speculative Decoding,Suffix decoding,yes,no,,,
Speculative Decoding,Tree attention verification,yes,no,,,
Multimodal Input,Image input (single / batched),yes,no,,Removed with CandleWorker; not ported to CudaWorker,
Multimodal Input,Video input,yes,no,,,
Multimodal Input,Audio input,yes,no,,,
Multimodal Input,Image embeddings (pre-encoded),yes,no,,,
Multimodal Input,Mixed modalities (image + audio + text),yes,no,,,
Embeddings & Pooling,`/v1/embeddings` endpoint,yes,yes,,,
Embeddings & Pooling,`--runner pooling` mode,na,yes,,Rust-only CLI flag,
Embeddings & Pooling,Pooling: last token,yes,yes,,,
Embeddings & Pooling,Pooling: CLS token,yes,yes,,,
Embeddings & Pooling,Pooling: mean,yes,yes,,,
Embeddings & Pooling,Cross-encoder scoring,yes,no,,,
Embeddings & Pooling,Reranking,yes,no,,,
Embeddings & Pooling,Classification head,yes,no,,,
Serving Features,SSE streaming,yes,yes,,,
Serving Features,TLS / HTTPS,yes,yes,,,
Serving Features,Mutual TLS (client cert),no,yes,,Rust-only; via `--ssl-ca-certs`,
Serving Features,Chat templates (Jinja2),yes,yes,,Rust: minijinja,
Serving Features,CORS,yes,yes,,,
Serving Features,`stream_options.include_usage`,yes,yes,,,
Serving Features,Incremental detokenization,yes,yes,,,
Serving Features,OpenTelemetry tracing,yes,yes,,`--features otel --otlp-traces-endpoint`; OTLP/gRPC export via tracing-opentelemetry,
Serving Features,Sleep / wake (GPU memory release),yes,yes,,Level 1: free weights + KV cache + CUDA graphs; wake reloads from disk; POST /sleep /wake_up GET /is_sleeping /gpu_memory,
Serving Features,RLHF pause / resume / weight update,yes,no,,,
Serving Features,Dynamic LoRA REST endpoints,yes,no,,,
Serving Features,Prefix cache reset endpoint,yes,yes,,,
Serving Features,`/server_info` endpoint,yes,yes,,Mirrors Python: vllm_config (text/json) + vllm_env + system_env; secrets filtered,
Serving Features,Elastic DP scaling,yes,no,,,
Performance Optimizations,CUDA graphs (decode),yes,yes,,CudaWorker: BS=[1-32] with batch padding + in-graph argmax; MoE compatible; FP8 KV cache compatible (pre-allocated dequant buffers),
Performance Optimizations,Fused RMS norm + residual add,yes,yes,,CUDA kernel; vectorized 128-bit loads,
Performance Optimizations,Fused rotary embeddings,yes,yes,,CUDA kernel,
Performance Optimizations,Fused MoE gating (top-k),yes,yes,,TRT-LLM topk_softmax kernel with GpuTensor FFI,
Performance Optimizations,Fused reshape-and-cache,yes,yes,,CUDA kernel,
Performance Optimizations,Fused GPU sampling,yes,yes,,CUDA kernel; full LogitsProcessor pipeline on GPU,
Performance Optimizations,cublasLt with plan caching,yes,yes,,Plans cached by (M K N dtype has_bias); 32MB workspace (matches PyTorch default),
Performance Optimizations,Weight dtype casting at load,yes,yes,,GpuWeights casts F32→BF16/F16 via pinned host memory (matches Python torch_dtype auto-cast),
Performance Optimizations,Triton kernels,yes,no,,Rust has no Triton equivalent,
Performance Optimizations,Torch.compile / inductor,yes,no,,,
Performance Optimizations,Weight-only INT8/FP8 GEMM,yes,partial,,FP8 W8A8 via fused CUTLASS cutlass_scaled_mm on SM89. TODO: INT8 W8A8 via CUTLASS (same scaled_mm infrastructure with INT8 data types); FP8 W8A16 weight-only quantization; INT8 W8A16 weight-only; SM90+ c3x kernels for both FP8 and INT8; Marlin FP8/INT8 for SM<89,
Performance Optimizations,Fused cross-entropy loss,yes,no,,,
Performance Optimizations,NVTX profiling annotations,yes,yes,,Rust: `--features profiling`,
CUDA Compute Kernels,`fused_add_rms_norm`,yes,yes,,Vectorized 128-bit loads; wired into all model decoder layers,
CUDA Compute Kernels,Rotary embedding (fused),yes,yes,,,
CUDA Compute Kernels,`reshape_and_cache`,yes,yes,,,
CUDA Compute Kernels,MoE top-k gating,yes,yes,,TRT-LLM topk_softmax kernel,
CUDA Compute Kernels,GPU sampling (argmax + Gumbel-max + fused top-k/p/min-p),yes,yes,,In-graph for CUDA graphs; zero-copy D2D scatter,
CUDA Compute Kernels,FlashAttention-2 (paged prefill+decode),yes,yes,,Direct FFI to vllm-flash-attn fork,
CUDA Compute Kernels,Paged attention v1/v2 (PagedAttention),yes,no,,,
CUDA Compute Kernels,`silu_and_mul` fused activation,yes,yes,,Vectorized 128-bit loads; combined gate_up variant,
CUDA Compute Kernels,`gelu_and_mul` fused activation,yes,yes,,Vectorized 128-bit loads; combined gate_up variant,
CUDA Compute Kernels,Fused MoE GEMM,yes,yes,,WMMA tensor-core kernel (128/128/32); BF16/F16 + FP8 E4M3 (dequant-to-BF16 compute with per-token a_scale × per-expert w_scale epilogue); perf gaps vs Triton: fixed tile sizes (2-3x some shapes) + WMMA vs native mma PTX (10-30%) + no GROUP_SIZE_M L2 grouping + no chunked processing (OOM risk large batches); FP8 gap: SM89 native mma.m16n8k32.e4m3 PTX parked (0.5x output bug),
CUDA Compute Kernels,Marlin (INT4 GEMM),yes,yes,,W4A16 fused dequant+GEMM; 270 kernel instantiations (FP16/BF16 × GPTQ/AWQ); use_fp32_reduce=true,
CUDA Compute Kernels,GGUF dequant kernels (k-quants),yes,yes,,llama.cpp-derived; BS=1 fused dequant-matvec + BS>1 Q8_1 dot products; Q4_0/Q4_1/Q5_0/Q5_1/Q8_0/Q2K-Q8K,
