section,feature,python,rust,rust_mlx,notes,deprecated
Other API Protocols,JSON stats (`/stats` / `/stats/live` SSE),no,yes,,Rust-only live stats stream,
Other API Protocols,ORCA load-reporting headers,no,yes,,Rust-only,
Model Architectures — Decoder-Only LLMs,LLaMA / LLaMA 2 / LLaMA 3,yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Mistral,yes,yes,yes,Shares LLaMA code path,
Model Architectures — Decoder-Only LLMs,Qwen2 / Qwen2.5,yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Qwen3,yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Phi-3 / Phi-4,yes,yes,yes,LongRoPE for Phi-4,
Model Architectures — Decoder-Only LLMs,Gemma 2,yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Gemma 3 (text-only),yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,DeepSeek V2 / V3 (MLA + MoE),yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Command R (Cohere),yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Qwen2 MoE,yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Qwen3 MoE,yes,yes,yes,,
Model Architectures — Decoder-Only LLMs,Mixtral (MoE),yes,yes,no,,
Model Architectures — Decoder-Only LLMs,Granite (IBM),yes,yes,no,,
Model Architectures — Decoder-Only LLMs,Kimi K2.5,yes,yes,no,Uses DeepSeek V2 backbone,
Model Architectures — Decoder-Only LLMs,Qwen3-Next (hybrid GDN + MoE),yes,yes,no,Linear attention + full attention,
Model Architectures — Decoder-Only LLMs,GPT-NeoX,yes,no,no,,
Model Architectures — Decoder-Only LLMs,GPT-J,yes,no,no,,
Model Architectures — Decoder-Only LLMs,GPT-BigCode / StarCoder2,yes,no,no,,
Model Architectures — Decoder-Only LLMs,Falcon / Falcon-H1,yes,no,no,,
Model Architectures — Decoder-Only LLMs,BLOOM,yes,no,no,,
Model Architectures — Decoder-Only LLMs,OPT,yes,no,no,,
Model Architectures — Decoder-Only LLMs,OLMo / OLMo2 / OLMoE,yes,no,no,,
Model Architectures — Decoder-Only LLMs,Nemotron / Nemotron-H,yes,no,no,,
Model Architectures — Decoder-Only LLMs,Exaone / Exaone4,yes,no,no,,
Model Architectures — Decoder-Only LLMs,StableLM,yes,no,no,,
Model Architectures — Decoder-Only LLMs,Baichuan,yes,no,no,,
Model Architectures — Decoder-Only LLMs,ChatGLM / GLM-4,yes,no,no,,
Model Architectures — Decoder-Only LLMs,DBRX (MoE),yes,no,no,,
Model Architectures — Decoder-Only LLMs,Arctic (MoE),yes,no,no,,
Model Architectures — Decoder-Only LLMs,Mamba / Bamba / Jamba,yes,no,no,SSM-based,
Model Architectures — Decoder-Only LLMs,Zamba 2,yes,no,no,,
Model Architectures — Decoder-Only LLMs,PLaMo 2 / PLaMo 3,yes,no,no,,
Model Architectures — Decoder-Only LLMs,ERNIE 4.5 (dense + MoE + MTP),yes,no,no,,
Model Architectures — Decoder-Only LLMs,SolarPro,yes,no,no,,
Model Architectures — Decoder-Only LLMs,100+ additional architectures,yes,no,no,Long tail of niche models,
Model Architectures — Encoder / Embedding,BERT,yes,no,,,
Model Architectures — Encoder / Embedding,ModernBERT,yes,no,,,
Model Architectures — Encoder / Embedding,RoBERTa,yes,no,,,
Model Architectures — Encoder / Embedding,ColBERT / ColQwen3,yes,no,,Late-interaction rerankers,
Model Architectures — Vision-Language / Multimodal,Gemma 3 VLM (SigLIP + projector),yes,yes,,,
Model Architectures — Vision-Language / Multimodal,Qwen2-VL / Qwen2.5-VL,yes,yes,,,
Model Architectures — Vision-Language / Multimodal,LLaMA 4 (Mllama4),yes,no,,,
Model Architectures — Vision-Language / Multimodal,Qwen3-VL,yes,no,,,
Model Architectures — Vision-Language / Multimodal,Phi-3-Vision / Phi-4-MM,yes,no,,,
Model Architectures — Vision-Language / Multimodal,LLaVA / Pixtral,yes,no,,,
Model Architectures — Vision-Language / Multimodal,InternVL2,yes,no,,,
Model Architectures — Vision-Language / Multimodal,DeepSeek-VL2,yes,no,,,
Model Architectures — Vision-Language / Multimodal,Molmo / Molmo2,yes,no,,,
Model Architectures — Vision-Language / Multimodal,PaliGemma,yes,no,,,
Model Architectures — Vision-Language / Multimodal,30+ additional VLMs,yes,no,,,
Model Architectures — Audio / Speech,Whisper,yes,no,,,
Model Architectures — Audio / Speech,Qwen2-Audio / Qwen3-ASR,yes,no,,,
Model Architectures — Audio / Speech,Ultravox,yes,no,,,
Model Architectures — Audio / Speech,Voxtral / Voxtral-Realtime,yes,no,,,
Model Architectures — Speculative Decoding Draft Models,EAGLE / EAGLE3 heads,yes,no,,,
Model Architectures — Speculative Decoding Draft Models,Medusa heads,yes,no,,,
Model Architectures — Speculative Decoding Draft Models,MLP Speculator,yes,no,,,
Model Architectures — Speculative Decoding Draft Models,DeepSeek-Eagle,yes,no,,,
Quantization Methods,GGUF (all k-quant variants),yes,yes,,,
Quantization Methods,GPTQ,yes,yes,,Rust: LLaMA-family only,
Quantization Methods,AWQ,yes,yes,,Rust: LLaMA-family only,
Quantization Methods,BitsAndBytes NF4 (4-bit),yes,yes,,Rust: LLaMA-family only,
Quantization Methods,MLX 4-bit quantized,na,yes,,Rust-only; mlx-community models,
Quantization Methods,FP8 (W8A8 / W8A16),yes,no,,,
Quantization Methods,Marlin kernels (AWQ/GPTQ),yes,no,,,
Quantization Methods,Compressed-tensors (Neural Magic),yes,no,,,
Quantization Methods,TorchAO (int4/int8/fp8),yes,no,,,
Quantization Methods,MXFP4 (microscaling),yes,no,,,
Quantization Methods,ModelOpt (NVIDIA FP4/FP8),yes,no,,,
Quantization Methods,Quark (AMD),yes,no,,,
Quantization Methods,FP8 KV cache quantization,yes,no,,,
Attention Backends,Scaled dot-product (CPU),yes,yes,,,
Attention Backends,FlashAttention-2 (single sequence),yes,yes,,Rust: CUDA only,
Attention Backends,FlashAttention-2 varlen (batched prefill),yes,yes,,,
Attention Backends,Paged FlashAttention-2 (batched decode),yes,yes,,Rust: forked candle-flash-attn,
Attention Backends,FlashAttention-3,yes,no,,,
Attention Backends,FlashInfer,yes,no,,,
Attention Backends,Triton attention,yes,no,,,
Attention Backends,ROCm AITER attention,yes,no,,,
Attention Backends,FlashInfer MLA (DeepSeek),yes,no,,,
Attention Backends,Triton MLA (DeepSeek),yes,no,,,
Attention Backends,Tree attention (speculative),yes,no,,,
Attention Backends,Mamba1 / Mamba2 SSM,yes,no,,,
Attention Backends,GDN (gated diffusion network),yes,yes,,Rust: Qwen3-Next,
Attention Backends,MLX paged decode attention,na,yes,,Rust-only,
Sampling & Decoding,Greedy (argmax),yes,yes,,,
Sampling & Decoding,Temperature scaling,yes,yes,,,
Sampling & Decoding,Top-k,yes,yes,,,
Sampling & Decoding,Top-p (nucleus),yes,yes,,,
Sampling & Decoding,Min-p,yes,yes,,,
Sampling & Decoding,Repetition penalty,yes,yes,,,
Sampling & Decoding,Frequency penalty,yes,yes,,,
Sampling & Decoding,Presence penalty,yes,yes,,,
Sampling & Decoding,Logit bias,yes,yes,,,
Sampling & Decoding,Logprobs (top-N),yes,yes,,,
Sampling & Decoding,Prompt logprobs,yes,yes,,,
Sampling & Decoding,Random seed,yes,yes,,,
Sampling & Decoding,Stop strings,yes,yes,,,
Sampling & Decoding,Stop token IDs,yes,yes,,,
Sampling & Decoding,`ignore_eos`,yes,yes,,,
Sampling & Decoding,`min_tokens`,yes,yes,,,
Sampling & Decoding,`n > 1` completions,yes,yes,,,
Sampling & Decoding,`echo` (return prompt in output),yes,yes,,,
Sampling & Decoding,`bad_words` blocklist,yes,no,,,
Sampling & Decoding,`allowed_token_ids` whitelist,yes,no,,,
Sampling & Decoding,`truncate_prompt_tokens`,yes,no,,,
Sampling & Decoding,Beam search,yes,no,,,yes
Sampling & Decoding,`best_of` / `n` with rejection,yes,no,,,yes
Sampling & Decoding,GPU-side fused sampling (CUDA),yes,yes,,Rust: Gumbel-max + fused top-k/top-p/min-p,
Structured Output / Guided Decoding,JSON schema,yes,yes,,,
Structured Output / Guided Decoding,JSON object (freeform),yes,yes,,,
Structured Output / Guided Decoding,Regex constraint,yes,yes,,,
Structured Output / Guided Decoding,Choice (enum),yes,yes,,,
Structured Output / Guided Decoding,EBNF grammar,yes,no,,,
Structured Output / Guided Decoding,Structural tags,yes,no,,,
Structured Output / Guided Decoding,Backend: outlines-core FSM,yes,yes,,,
Structured Output / Guided Decoding,Backend: xgrammar,yes,no,,,
Structured Output / Guided Decoding,Backend: guidance,yes,no,,,
Structured Output / Guided Decoding,Backend: lm-format-enforcer,yes,no,,,
Tool Calling / Function Calling,`tools` / `tool_choice` in chat completions,yes,yes,,,
Tool Calling / Function Calling,`auto` / `required` / `none` tool choice,yes,yes,,,
Tool Calling / Function Calling,Named tool choice,yes,yes,,,
Tool Calling / Function Calling,Parallel tool calls,yes,yes,,,
Tool Calling / Function Calling,Hermes tool parser,yes,yes,,,
Tool Calling / Function Calling,Llama3 JSON tool parser,yes,yes,,,
Tool Calling / Function Calling,25+ additional model-specific parsers,yes,no,,"Mistral, DeepSeek, Qwen3, Pythonic, etc.",
Tool Calling / Function Calling,Reasoning parsers (strip CoT tokens),yes,no,,"DeepSeek-R1, Qwen3, etc.",
Scheduling,Continuous batching,yes,yes,,,
Scheduling,FCFS scheduling policy,yes,yes,,,
Scheduling,Priority scheduling policy,yes,yes,,,
Scheduling,Chunked prefill,yes,yes,,Default on in both,
Scheduling,Prefix caching (APC),yes,yes,,Hash-based block reuse; default on in both,
Scheduling,Async scheduling (overlap GPU/CPU),yes,yes,,,
Scheduling,Preemption (swap to CPU),yes,no,,,yes
Scheduling,Custom scheduler class (pluggable),yes,no,,,
KV Cache,Paged KV cache (block pool),yes,yes,,,
KV Cache,Block allocation / free / reuse,yes,yes,,,
KV Cache,Prefix-cached block lookup,yes,yes,,,
KV Cache,Contiguous KV buffer (CUDA decode opt),yes,yes,,Rust: avoids Tensor::cat per step,
KV Cache,CPU swap space,yes,no,,Python: default 4 GB,
KV Cache,KV cache offloading to CPU,yes,no,,,
KV Cache,FP8 KV cache,yes,no,,,
KV Cache,KV transfer / disaggregated prefill,yes,no,,"Python: NCCL, LMCache, NIXL, Mooncake connectors",
LoRA & Adapters,Single LoRA adapter at startup,yes,yes,,PEFT-format safetensors,
LoRA & Adapters,Multi-LoRA concurrent serving,yes,no,,,
LoRA & Adapters,Dynamic LoRA hot-load/unload (REST API),yes,no,,,
LoRA & Adapters,Fully sharded LoRA (across TP ranks),yes,no,,,
LoRA & Adapters,Punica batched LoRA GEMM kernels,yes,no,,,
LoRA & Adapters,rsLoRA scaling,yes,yes,,,
Speculative Decoding,N-gram prompt lookup proposer,yes,yes,,,
Speculative Decoding,Draft model (separate small LM),yes,no,,,
Speculative Decoding,EAGLE / EAGLE3 draft heads,yes,no,,,
Speculative Decoding,Medusa draft heads,yes,no,,,
Speculative Decoding,Suffix decoding,yes,no,,,
Speculative Decoding,Tree attention verification,yes,no,,,
Multimodal Input,Image input (single / batched),yes,yes,,"Rust: Gemma3-MM, Qwen2-VL, Qwen2.5-VL",
Multimodal Input,Video input,yes,no,,,
Multimodal Input,Audio input,yes,no,,,
Multimodal Input,Image embeddings (pre-encoded),yes,no,,,
Multimodal Input,Mixed modalities (image + audio + text),yes,no,,,
Embeddings & Pooling,`/v1/embeddings` endpoint,yes,yes,,,
Embeddings & Pooling,`--runner pooling` mode,na,yes,,Rust-only CLI flag,
Embeddings & Pooling,Pooling: last token,yes,yes,,,
Embeddings & Pooling,Pooling: CLS token,yes,yes,,,
Embeddings & Pooling,Pooling: mean,yes,yes,,,
Embeddings & Pooling,Cross-encoder scoring,yes,no,,,
Embeddings & Pooling,Reranking,yes,no,,,
Embeddings & Pooling,Classification head,yes,no,,,
Serving Features,SSE streaming,yes,yes,,,
Serving Features,TLS / HTTPS,yes,yes,,,
Serving Features,Mutual TLS (client cert),no,yes,,Rust-only; via `--ssl-ca-certs`,
Serving Features,Chat templates (Jinja2),yes,yes,,Rust: minijinja,
Serving Features,CORS,yes,yes,,,
Serving Features,`stream_options.include_usage`,yes,yes,,,
Serving Features,Incremental detokenization,yes,yes,,,
Serving Features,OpenTelemetry tracing,yes,no,,,
Serving Features,Sleep / wake (GPU memory release),yes,no,,,
Serving Features,RLHF pause / resume / weight update,yes,no,,,
Serving Features,Dynamic LoRA REST endpoints,yes,no,,,
Serving Features,Prefix cache reset endpoint,yes,no,,,
Serving Features,`/server_info` endpoint,yes,no,,,
Serving Features,Elastic DP scaling,yes,no,,,
Performance Optimizations,CUDA graphs (decode),yes,yes,,Rust: configurable batch sizes,
Performance Optimizations,Fused RMS norm + residual add,yes,yes,,CUDA kernel,
Performance Optimizations,Fused rotary embeddings,yes,yes,,CUDA kernel,
Performance Optimizations,Fused MoE gating (top-k),yes,yes,,CUDA kernel,
Performance Optimizations,Fused reshape-and-cache,yes,yes,,CUDA kernel,
Performance Optimizations,Fused GPU sampling,yes,yes,,CUDA kernel,
Performance Optimizations,Triton kernels,yes,no,,Rust has no Triton equivalent,
Performance Optimizations,Torch.compile / inductor,yes,no,,,
Performance Optimizations,Weight-only INT8/FP8 GEMM,yes,no,,,
Performance Optimizations,Fused cross-entropy loss,yes,no,,,
Performance Optimizations,NVTX profiling annotations,yes,yes,,Rust: `--features profiling`,
CUDA Compute Kernels,`fused_add_rms_norm`,yes,yes,,Vectorized 128-bit loads,
CUDA Compute Kernels,Rotary embedding (fused),yes,yes,,,
CUDA Compute Kernels,`reshape_and_cache`,yes,yes,,,
CUDA Compute Kernels,MoE top-k gating,yes,yes,,,
CUDA Compute Kernels,GPU sampling (Gumbel-max),yes,yes,,,
CUDA Compute Kernels,FlashAttention-2 (paged),yes,yes,,Forked candle-flash-attn,
CUDA Compute Kernels,Paged attention v1/v2 (PagedAttention),yes,no,,,
CUDA Compute Kernels,`silu_and_mul` fused activation,yes,no,,,
CUDA Compute Kernels,`gelu_and_mul` fused activation,yes,no,,,
CUDA Compute Kernels,Fused MoE GEMM,yes,no,,,
CUDA Compute Kernels,Marlin (INT4 GEMM),yes,no,,,
CUDA Compute Kernels,FP8 GEMM,yes,no,,,
CUDA Compute Kernels,Prefix caching hash kernel,yes,no,,,
CUDA Compute Kernels,Custom all-reduce,yes,no,,,
Observability & Operations,Prometheus metrics endpoint,yes,yes,,,
Observability & Operations,Request latency metrics (TTFT / ITL),yes,yes,,,
Observability & Operations,KV cache utilization gauge,yes,yes,,,
Observability & Operations,Token throughput counters,yes,yes,,,
Observability & Operations,Queue depth metrics,yes,yes,,,
Observability & Operations,OpenTelemetry tracing,yes,no,,,
Observability & Operations,`collect-env` diagnostic dump,yes,no,,,
Observability & Operations,Live stats SSE stream,no,yes,,Rust-only: `/stats/live`,
Observability & Operations,TUI dashboard (`vllm top`),no,yes,,Rust-only,
Engine & Architecture,Async engine (non-blocking),yes,yes,,,
Engine & Architecture,In-process engine client,yes,yes,,,
Engine & Architecture,Single-worker executor,yes,yes,,,
Engine & Architecture,Multi-worker executor,yes,yes,,Rust: tokio channels,
Engine & Architecture,Ray executor (distributed),yes,no,,,
Engine & Architecture,External launcher executor,yes,no,,,
Engine & Architecture,PyO3 scheduler bridge,na,yes,,Rust scheduler usable from Python,
Engine & Architecture,Offline `LLM` API (programmatic),yes,yes,,Python: `LLM` class; Rust: `LLM` struct,
Engine & Architecture,HuggingFace tokenizers,yes,yes,,Same `tokenizers` library,
Engine & Architecture,HuggingFace Hub model download,yes,yes,,,
Engine & Architecture,Standalone binary (no Python),na,yes,,Rust-only,
